rownames(TME)	B_cells_naive_CIBERSORT	Plasma_cells_CIBERSORT	T_cells_CD8_CIBERSORT	T_cells_CD4_memory_resting_CIBERSORT	T_cells_CD4_memory_activated_CIBERSORT	T_cells_follicular_helper_CIBERSORT	T_cells_regulatory_.Tregs._CIBERSORT	NK_cells_resting_CIBERSORT	NK_cells_activated_CIBERSORT	Monocytes_CIBERSORT	Macrophages_M0_CIBERSORT	Macrophages_M1_CIBERSORT	Macrophages_M2_CIBERSORT	Dendritic_cells_resting_CIBERSORT	Dendritic_cells_activated_CIBERSORT	Mast_cells_resting_CIBERSORT	Mast_cells_activated_CIBERSORT	Neutrophils_CIBERSORT
TCGA.57.1586.01A	TCGA.57.1586.01A	0.126751977069867	0.124087695694419	0.037736943195233	0.149938506309483	0	0	0.0455986194322219	0	0.0419883330893602	0	0.158991257820524	0.156130436265731	0.158776231123161	0	0	0	0	0
TCGA.09.2044.01B	TCGA.09.2044.01B	0.0293415521147132	0.0241263526248165	0.0890579846381728	0.124767876338953	0	0.0183752079186901	0.0425397811564633	0	0.0781415097895569	0.129810318443383	0.139006686138648	0.0844122784050513	0.210204227691321	0	0.00199267922182653	0	0.0247985860224178	0.00342495949598628
TCGA.IG.A97I.01A	TCGA.IG.A97I.01A	0	0.0119453209955938	0	0.0693670264071256	0.0103749373970815	0.0418512478322014	0	0	0.0451446283700203	0	0.586833960401386	0.0745851319145102	0.0743138327745046	0	0.0156449761757246	0.0699389377318524	0	0
TCGA.L5.A8NT.01A	TCGA.L5.A8NT.01A	0.0797732905396556	0	0.0406325894219224	0.307200908849985	0	0	0.0357023180121553	0	0.000359460661593869	0.0136205190530733	0.0915769353055486	0.0774901046803346	0.110090373274083	0.0902837454860142	0.0314405190388171	0.097382179595213	0.00968697297465239	0.0147600831069525
TCGA.R6.A6KZ.01A	TCGA.R6.A6KZ.01A	0.0897000734821441	0.0295345255567329	0.0710926672991943	0.26428303516765	0	0.0174762459905094	0.148597622384253	0	0.0278892601872017	0.00778136248645523	0.13348633085592	0.0584445291432508	0.0700725629265528	0.000734085160834996	0.0539618132062584	0.0269458861530423	0	0
TCGA.IG.A3YB.01A	TCGA.IG.A3YB.01A	0	0	0.16282417972856	0.0491295921626472	0.0454687272291337	0.00504097855916825	0.117706440198208	0	0.0527816641613187	0.0582183964268417	0	0.107882446204654	0.18798010555414	0.0672922730521574	0.0333913849303158	0.109778798895381	0	0
TCGA.LN.A4A5.01A	TCGA.LN.A4A5.01A	0.00452140995923768	0	0.031465519816053	0.174630242020705	0.000390035263512332	0	0.0751898028215433	0.00287019821327605	0.00920261930037004	0	0.239326502962568	0.094348060732263	0.0919505186009933	0.148112290491965	0.108824511719829	0.0191682880976836	0	0
TCGA.L5.A43C.01A	TCGA.L5.A43C.01A	0.0239127818382841	0.0537872842413229	0.00104628251402061	0.210386736582469	0	0	0.0179493799496406	0.052681992273671	0	0.00391882919528806	0.234132959049657	0.00552395371408307	0.0658615713820271	0	0.068849322135237	0	0.216699086960696	0.0452498201636047
TCGA.JY.A938.01A	TCGA.JY.A938.01A	0	0.173148200514071	0.134404058784827	0.0924517424421516	0.118183904407742	0	0.0350722387052201	0	0.0703354594017191	0.00355253448419828	0.055809237572438	0.0886404130905285	0.0604344068627604	0	0.0392521806355333	0.0934682945389882	0	0.0330911776921384
TCGA.LN.A49N.01A	TCGA.LN.A49N.01A	0.0197477405412929	0.0391070230065777	0.0074303364683803	0.238441236354428	0.000229727481753982	0.0188306216543111	0.0287671893946962	0.093458214622653	0.0214228690223501	0	0.295877655886935	0.0598323186245008	0.102673602151888	0.0389000865951953	0	0.0352813781950376	0	0
TCGA.L5.A4OU.01A	TCGA.L5.A4OU.01A	0.0564737675715429	0.0393203453942784	0.102539987286704	0.15277918159919	0.097536145130884	0.00158044799549912	0.00478721515957212	0.111086494738786	0	0.0010378496834696	0.0249783943213122	0.135597291219271	0.152987423205585	0	0.0566845125670309	0.053363966183914	0	0.00924697794296099
TCGA.LN.A9FR.01A	TCGA.LN.A9FR.01A	0.0427567328784386	0	0.0266235680467349	0.191948017064151	0.0363857765326158	0	0.0277265821847785	0.0152810878870462	0.0110027442794998	0.0438647186813484	0.148932636404005	0.0148899521948437	0.214624217496727	0.114890122633549	0.0749197712410659	0.0290344693559856	0	0
TCGA.VR.A8EU.01A	TCGA.VR.A8EU.01A	0.0149170237274841	0.0288108544907714	0	0.0424381037397583	0.0827941110839776	0.0427407472837334	0.0071110053113153	0.0893631334331349	0	0	0.127025675230273	0.227067558745602	0.168810302002773	0.0509231340524446	0.0594009678111741	0	0.0532163031255109	0.000416308355157155
TCGA.LN.A49P.01A	TCGA.LN.A49P.01A	0.0120010642124486	0.00959746925082675	0.157870418181958	0.102201365674022	0.00378310681990379	0.0351870243986463	0.0322501737433895	0.0103855521673566	0.0195603056078013	0	0.245907629832108	0.150612230573393	0.171542903320003	0.00981624975482498	0	0.0384146421683214	0	0.000869864294996478
TCGA.L5.A4OS.01A	TCGA.L5.A4OS.01A	0.0836276028494648	0.180351328428128	0	0.153847811428752	0.0331424752256565	0.00509384054512242	0.00576431452001913	0.0322065024973682	0	0	0.159524561258009	0.0429144162846369	0.178197021872475	0	0.0319346282048956	0	0.0736617675288329	0.0170787054087539
TCGA.VR.AA4G.01A	TCGA.VR.AA4G.01A	0.0166035418302343	0.0336547309292195	0.0128228653430078	0.374116183957274	0.0960281227432819	0	0	0.035869475689603	0.0503926312996563	0.0208316733852255	0.0568658448761935	0.089551376908441	0.00330546444093259	0.0732528374881862	0.132628591504691	0.00407665960405345	0	0
TCGA.L5.A893.01A	TCGA.L5.A893.01A	0.251297859529852	0.0351757314478293	0.0892563752774539	0.204508088586437	0	0	0.138206928804895	0.0192435396814494	0.0079736162599145	0	0.0841649481168059	0.061686583153435	0.0641324016611603	0.00379312673195483	0.0152347219581432	0.0115511957147716	0.011688123811298	0.00208675926460037
TCGA.5L.AAT0.01A	TCGA.5L.AAT0.01A	0.0319013088201247	0.0683649119540258	0.138265270240582	0.193199752624157	0	0.0122098424476844	0.0471954567085561	0	0.043261207496662	0.0394608488185097	0.0773701723375914	0.102861744771423	0.119696979855668	0.0118798411177085	0	0.105774694451514	0	0.00855796835579355
TCGA.A2.A04U.01A	TCGA.A2.A04U.01A	0.122377201245097	0.108965639869305	0.0725659353838452	0.0654006607826495	0.0116362958839963	0.042557589791056	0.0292935144240321	0.0112368058643708	0	0	0.299117849353701	0.0376378120304116	0.187177454712464	0	0	0.0113071054555913	0	0.000726135203481015
TCGA.A7.A13D.01A	TCGA.A7.A13D.01A	0.0625474934794855	0.0125776007122937	0	0.0112151133050328	0	0.026233190049813	0	0	0.0102252341112182	0	0.793742281232424	0.00214553598434042	0.0134911164030691	0	0.0392697216208687	0.0181392593943013	0	0.00952791547099108
TCGA.BH.A201.01A	TCGA.BH.A201.01A	0.062521272558171	0.0435054186086998	0.0242533647201093	0.0509296469004023	0	0.042840379015246	0.000535415791324622	0	0.0179970323826661	0	0.473208509171924	0.0544612847906008	0.139084011848742	0	0	0.087240135516306	0	0.00342352869580779
TCGA.A2.A0YL.01A	TCGA.A2.A0YL.01A	0.060897690700581	0.0525624950701738	0.147075752034801	0.281514646865574	0	0	0	0	0.0292541425489322	0.00622919682262955	0	0.137335065580082	0.14589312268953	0.0163412567038579	0	0.122896630983839	0	0
TCGA.A2.A04R.01A	TCGA.A2.A04R.01A	0.0690008837929038	0.110849095235113	0.0324578179561028	0.0502394399316486	0	0.012564635851563	0	0	0.0131420272304883	0	0.381598113604021	0.0629269019575444	0.0900038139624208	0	0	0.177217270478194	0	0
TCGA.AN.A03X.01A	TCGA.AN.A03X.01A	0.045299029800706	0.0547330515159791	0.0458793861329764	0.157315468705274	0	0.0289791267041193	0	0	0.0302841546010222	0.0902893666587035	0	0.0651679757666072	0.21250605075201	0.00864834504697578	0.0160864357564096	0.229392916237246	0	0.0154186923219713
TCGA.AC.A3EH.01A	TCGA.AC.A3EH.01A	0.0353231447224878	0.0219490557334567	0.0683746150886313	0.152884653399747	0	0.00426074282195456	0.0160595389355709	0	0.0203571346248025	0.0213626571176876	0.330611895539641	0.0486276753757705	0.209210347607164	0	0	0.0584644492094984	0	0.0125140898235886
TCGA.A8.A08X.01A	TCGA.A8.A08X.01A	0	0.377592490176913	0.0438765663551534	0.124375907054908	0	0	0.0230859982752392	0	0.0325368159250514	0	0.125402330623821	0.0673610851050285	0.164334596581596	0	0	0.0414342099022883	0	0
TCGA.S3.A6ZF.01A	TCGA.S3.A6ZF.01A	0.111216531397245	0.0487515724963637	0.085723961019173	0.211718414921283	0	0.0148601577539979	0.0207513428008732	0.00039469278727115	0.0112817817445944	0.00351229710628346	0.0807694029576771	0.121869766718253	0.168799230082245	0.0226546448941899	0.0211265558050692	0.0765696475154811	0	0
TCGA.E2.A1IH.01A	TCGA.E2.A1IH.01A	0.101995128046578	0	0.0658184151160374	0.230960414890021	0.00827014251131606	0.0363546420779898	0	0	0.0324865026980685	0	0.248743940219457	0.0884709321612715	0.063898756570473	0.00513946825286614	0	0.0493773783110126	0	0
TCGA.E2.A1LG.01A	TCGA.E2.A1LG.01A	0.0456277596278627	0.221395672345753	0.0650153329392081	0.0192755327732515	0	0.0774255340729282	0	0	0.00544892560391264	0.00261825347025013	0.157710815559839	0.200803064413586	0.0945794489870555	0.0528952941106321	0.0169799525078989	0.0402244135878216	0	0
TCGA.BH.A0EB.01A	TCGA.BH.A0EB.01A	0.0346378957319982	0.0860995385214093	0.0473029723153778	0.214501868301843	0	0.0028197242212551	0.0504466183785218	0	0.0194910246956287	0.0909065330315325	0.0284141739990805	0.0736315880395779	0.217249795879679	0.05646328443739	0	0.0749210126231884	0	0.0031139698235185
